,city,train_len,train_RMSE,test_RMSE,class
0,Opfikon_Balsberg,12.0,6.58775032533506,7.445859392194506,high traffic
0,StGallen_Blumenbergplatz,12.0,6.652986381306414,7.248790921612952,low traffic
0,StGallen_Stuelegg,12.0,2.8007754429283005,1.8111462466203407,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.226623349105623,6.0065025519735125,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,7.229948737979749,7.700333044063546,low traffic
0,Opfikon_Balsberg,18.0,7.010177196111529,6.910670745190891,high traffic
0,StGallen_Blumenbergplatz,18.0,6.999223028068454,7.681743386708066,low traffic
0,StGallen_Stuelegg,18.0,3.1954892007412474,1.9254949263027679,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.719561160024628,6.016221664526677,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.257298210997545,5.903405819011949,low traffic
0,Opfikon_Balsberg,24.0,6.85697498046721,6.190468044966813,high traffic
0,StGallen_Blumenbergplatz,24.0,6.966674233332982,6.541318444756421,low traffic
0,StGallen_Stuelegg,24.0,2.9512930780564286,1.7385210568533602,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.945039116949896,4.81845304365226,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.287199498840757,5.929400435651595,low traffic
0,Opfikon_Balsberg,3.0,6.858023041233908,9.471385782661635,high traffic
0,StGallen_Blumenbergplatz,3.0,4.837292218825946,8.10150341043396,low traffic
0,StGallen_Stuelegg,3.0,1.592835945220451,1.742312771211687,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.672873282104258,8.873550515242277,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,4.884403642197328,23.14746066013798,low traffic
0,Opfikon_Balsberg,6.0,6.243002890538866,7.053810664348301,high traffic
0,StGallen_Blumenbergplatz,6.0,6.01632784433282,8.0890681381375,low traffic
0,StGallen_Stuelegg,6.0,2.695488140438414,1.9669665297521686,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.452691340249069,7.721739367810872,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.652229809036106,17.671703173364868,low traffic
0,Opfikon_Balsberg,9.0,6.528079163089702,7.602644377428272,high traffic
0,StGallen_Blumenbergplatz,9.0,6.988742979812758,6.484659541172724,low traffic
0,StGallen_Stuelegg,9.0,3.0873939782864834,1.8658463421737324,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.324757664137055,7.997344528083593,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,7.2713761124107235,17.055192921583203,low traffic
0,Opfikon_Balsberg,12.0,6.563936312713978,5.840621207325663,high traffic
0,StGallen_Blumenbergplatz,12.0,6.835329975139287,5.205895600872918,low traffic
