,pm10,sun,t,o3,no2,nox,no,ws,wd,press,h,pm25,co,p,so2,city
2017-03-29,18.315833333333334,140.86541666666668,11.5,97.64695652173914,8.987826086956522,5.274347826086956,0.7152173913043479,1.2550000000000001,155.86458333333334,922.6695833333334,62.39541666666667,,,0.0,,StGallen_Stuelegg
2017-03-29,23.241249999999997,,14.573749999999999,36.904166666666676,66.55000000000001,67.52874999999999,40.82083333333335,0.3629166666666667,101.56416666666667,,54.829583333333346,12.472500000000004,,0.0,,Zuerich_Schimmelstrasse
2017-03-29,20.777916666666666,224.90166666666667,14.795833333333333,50.51083333333333,43.61208333333334,39.04541666666667,20.255416666666672,0.8620833333333335,229.85375000000002,975.6912499999999,52.55791666666665,11.454583333333332,0.3316666666666668,0.0,2.2,Zuerich_Stampfenbachstrasse
2017-03-30,20.484583333333337,,12.497083333333334,46.181666666666665,34.82,34.242916666666666,20.000416666666666,1.1833333333333333,101.82499999999999,974.5075,60.77291666666665,,,0.0,,Opfikon_Balsberg
2017-03-30,22.97875,198.23000000000002,12.815,52.83208333333334,44.46791666666667,41.33666666666667,22.556250000000002,0.79875,157.21583333333334,947.4320833333333,61.89083333333334,13.535833333333334,,0.0,,StGallen_Blumenbergplatz
2017-03-30,19.20521739130435,180.87958333333327,11.944583333333334,94.445,12.105416666666665,8.394166666666667,2.5741666666666663,0.9975,106.11291666666665,921.5762500000001,60.95999999999999,,,0.0,,StGallen_Stuelegg
2017-03-30,25.173749999999995,,14.681249999999999,30.051666666666666,74.595,76.24791666666665,46.44791666666665,0.6204166666666666,176.54541666666668,,53.45249999999999,13.059166666666664,,0.0,,Zuerich_Schimmelstrasse
2017-03-30,20.752916666666664,226.07500000000002,14.781250000000002,43.07083333333333,53.87625,47.10916666666666,23.61666666666667,1.4037500000000003,60.48041666666666,974.3916666666668,51.86708333333332,11.363749999999998,0.3558333333333333,0.0,2.438333333333333,Zuerich_Stampfenbachstrasse
2017-03-31,26.482916666666664,,13.44625,38.22125,53.42083333333333,54.957916666666655,33.70541666666667,1.3175000000000003,170.06416666666664,968.3020833333334,60.12416666666667,,,0.0,,Opfikon_Balsberg
2017-03-31,24.659999999999997,192.3783333333333,14.340416666666668,57.93166666666667,51.01958333333332,49.143333333333324,28.01833333333333,0.59875,166.36500000000004,941.2345833333333,56.72666666666665,14.49875,,0.0,,StGallen_Blumenbergplatz
2017-03-31,17.88083333333333,177.65166666666664,15.053749999999999,108.16499999999998,10.537916666666664,6.168333333333333,0.8195833333333332,1.3075000000000003,179.81625,915.7062500000002,45.23374999999999,,,0.0,,StGallen_Stuelegg
2017-03-31,25.348636363636363,,15.57583333333333,38.15909090909091,61.84095238095237,58.38666666666666,32.49,0.39625000000000005,108.12041666666664,,54.89499999999999,14.441363636363633,,0.0,,Zuerich_Schimmelstrasse
2017-03-31,23.54833333333333,208.88291666666672,15.48913043478261,39.02409090909091,57.31636363636365,54.95681818181819,31.161818181818184,0.945,242.50958333333332,968.1591666666667,54.32956521739129,14.104583333333332,0.4190909090909091,0.0,2.1463636363636365,Zuerich_Stampfenbachstrasse
2017-04-01,16.454583333333336,,12.345833333333333,53.70695652173912,33.36136363636364,28.41090909090909,13.675454545454544,1.8516666666666663,196.9479166666667,962.5970833333334,60.060833333333335,,,0.0,,Opfikon_Balsberg
2017-04-01,20.185,159.5891666666667,12.492916666666668,60.323043478260864,40.936521739130434,31.00086956521739,11.967826086956519,0.9358333333333336,184.80583333333334,935.2220833333332,56.441250000000004,12.952916666666665,,0.0,,StGallen_Blumenbergplatz
2017-04-01,14.59875,129.51,11.50333333333333,101.45782608695653,9.34130434782609,5.392608695652174,0.6321739130434783,1.4341666666666664,185.41249999999994,909.6275,54.2075,,,0.0,,StGallen_Stuelegg
2017-04-01,16.796250000000004,,13.988333333333335,49.30166666666667,51.46333333333333,41.305416666666666,17.954583333333336,0.48125,73.87458333333335,,52.0725,9.065,,0.0,,Zuerich_Schimmelstrasse
2017-04-01,15.135416666666666,186.1437500000001,14.106249999999998,59.76500000000001,34.41499999999999,22.57833333333333,5.713333333333332,1.583333333333333,257.2870833333334,962.3270833333332,50.78083333333334,8.357500000000002,0.31083333333333335,0.0,1.0904166666666668,Zuerich_Stampfenbachstrasse
2017-04-02,12.84375,,12.9325,73.88666666666667,21.237916666666663,14.579999999999998,4.3325000000000005,1.2729166666666667,154.7408333333333,966.5641666666666,59.92083333333334,,,0.0,,Opfikon_Balsberg
