,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-04-07,47.540000000000006,Opfikon_Balsberg,36.06872678013414,33.040870007121995,27.456086235167277,3,high traffic,2016
2016-04-08,24.17833333333333,Opfikon_Balsberg,25.95252436121851,23.67163580474455,15.496080295754554,4,high traffic,2016
2016-04-09,38.85083333333333,Opfikon_Balsberg,32.14481532380273,34.25544118072334,22.585056338409494,5,high traffic,2016
2016-04-10,20.867083333333333,Opfikon_Balsberg,17.28046348237187,20.696713105542834,6.43994838025441,6,high traffic,2016
2016-04-11,36.36000000000001,Opfikon_Balsberg,32.71596951944522,32.71596951944522,21.7395212703273,0,high traffic,2016
2016-04-12,37.0808695652174,Opfikon_Balsberg,34.95323147047876,33.257306510506204,25.723728660018345,1,high traffic,2016
2016-04-13,52.35,Opfikon_Balsberg,39.29893809922078,36.72421214975391,29.266124123498706,2,high traffic,2016
2016-04-15,49.14347826086957,Opfikon_Balsberg,32.41053338651161,29.56207002774181,21.386514518751817,4,high traffic,2016
2016-04-16,38.2340909090909,Opfikon_Balsberg,33.909991531364945,36.13651870886158,24.466133866547736,5,high traffic,2016
2016-04-17,36.71083333333333,Opfikon_Balsberg,34.02629416985967,40.75309954485832,26.4963348195699,6,high traffic,2016
2016-04-18,49.26791666666667,Opfikon_Balsberg,37.69925192040245,37.69925192040245,26.722803671284538,0,high traffic,2016
2016-04-19,29.17,Opfikon_Balsberg,26.09699841525748,24.830776405707965,17.297198555220106,1,high traffic,2016
2016-04-20,26.115,Opfikon_Balsberg,20.193793376428445,18.870768217499453,11.412680191244249,2,high traffic,2016
2016-04-21,44.01583333333334,Opfikon_Balsberg,35.93811464661337,32.921222353593244,27.336438581638525,3,high traffic,2016
2016-04-22,44.50739130434783,Opfikon_Balsberg,42.1175934643083,38.41600607258172,30.24045056359173,4,high traffic,2016
2016-04-23,47.73,Opfikon_Balsberg,33.93279882441225,36.16082352684244,24.4904386845286,5,high traffic,2016
2016-04-24,30.475454545454546,Opfikon_Balsberg,28.980295635990753,34.70953571955867,20.45277099427025,6,high traffic,2016
2016-04-25,30.986,Opfikon_Balsberg,33.69400923874302,33.69400923874302,22.717560989625106,0,high traffic,2016
2016-04-26,38.24875,Opfikon_Balsberg,30.753398139188892,29.261248391825088,21.727670541337226,1,high traffic,2016
2016-04-27,47.095,Opfikon_Balsberg,31.543834055896983,29.477194802583316,22.019106776328112,2,high traffic,2016
2016-04-28,44.62000000000001,Opfikon_Balsberg,30.691660720190853,28.11519182088375,22.530408048929033,3,high traffic,2016
2016-04-29,40.20666666666667,Opfikon_Balsberg,39.05642405271972,35.62387354477136,27.448318035781362,4,high traffic,2016
2016-04-30,40.675416666666656,Opfikon_Balsberg,31.318709334804428,33.37509314231913,21.704708300005287,5,high traffic,2016
2016-05-01,40.207916666666655,Opfikon_Balsberg,31.780458960289224,38.06327545175906,23.806510726470638,6,high traffic,2016
2016-05-02,36.98772727272728,Opfikon_Balsberg,29.980534285511126,29.980534285511126,19.00408603639321,0,high traffic,2016
2016-05-03,40.55125,Opfikon_Balsberg,39.70888517822555,37.78221669370175,30.24863884321389,1,high traffic,2016
2016-05-04,22.044166666666676,Opfikon_Balsberg,25.150212215383238,23.50246021093837,16.044372184683166,2,high traffic,2016
2016-05-05,16.3775,Opfikon_Balsberg,22.684248771836735,20.779977054590304,15.195193282635588,3,high traffic,2016
2016-05-06,32.91454545454545,Opfikon_Balsberg,33.3049386192314,30.37786870058452,22.202313191594527,4,high traffic,2016
2016-05-07,30.40791666666668,Opfikon_Balsberg,21.18861867665506,22.57986158786455,10.909476745550707,5,high traffic,2016
2016-05-08,27.84583333333333,Opfikon_Balsberg,21.056282363633944,25.21898996482337,10.962225239534945,6,high traffic,2016
2016-05-09,43.96833333333333,Opfikon_Balsberg,31.37389239731191,31.37389239731191,20.397444148193998,0,high traffic,2016
2016-05-10,39.62818181818182,Opfikon_Balsberg,35.63833805044139,33.909171833500054,26.375593983012195,1,high traffic,2016
2016-05-11,37.24999999999999,Opfikon_Balsberg,29.16252619211916,27.2519017180104,19.793813691755197,2,high traffic,2016
2016-05-12,70.08333333333333,Opfikon_Balsberg,44.70156572393341,40.94900912922691,35.36422535727219,3,high traffic,2016
2016-05-13,67.52291666666666,Opfikon_Balsberg,37.2525922132434,33.97857500799808,25.803019499008087,4,high traffic,2016
2016-05-14,59.55217391304349,Opfikon_Balsberg,29.286699372058752,31.20966157718785,19.539276734874008,5,high traffic,2016
2016-05-15,30.221304347826084,Opfikon_Balsberg,25.68458336366892,30.762279822849393,16.50551509756097,6,high traffic,2016
2016-05-16,36.8475,Opfikon_Balsberg,33.07016100301403,33.07016100301403,22.093712753896114,0,high traffic,2016
2016-05-17,40.75416666666667,Opfikon_Balsberg,31.966579135259558,30.41556604835193,22.881988197864068,1,high traffic,2016
2016-05-18,45.928749999999994,Opfikon_Balsberg,35.15979049870066,32.85624670455886,25.39815867830366,2,high traffic,2016
2016-05-19,50.96,Opfikon_Balsberg,35.24915091750192,32.29009497413356,26.70531120217884,3,high traffic,2016
2016-05-20,34.61708333333333,Opfikon_Balsberg,34.40191071050475,31.378431245914232,23.202875736924234,4,high traffic,2016
