,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
4/6,40.9675,Zuerich_Schimmelstrasse,46.51458333333334,55.180269962154036,55.180269962154036,35.89358841132053,0,low traffic
4/7,44.13,Zuerich_Schimmelstrasse,31.893750000000008,51.41504037103827,49.29477175636048,32.587291484226455,1,low traffic
4/8,42.269583333333344,Zuerich_Schimmelstrasse,35.06458333333334,55.69368476492166,52.62569830964406,35.11334306967965,2,low traffic
4/9,42.620909090909095,Zuerich_Schimmelstrasse,46.09916666666666,57.10926995254757,54.494255682241445,46.39409018830473,3,low traffic
4/10,24.885833333333334,Zuerich_Schimmelstrasse,47.86708333333334,58.51682632237259,54.82002540879699,44.6034338501504,4,low traffic
4/11,31.58875,Zuerich_Schimmelstrasse,34.4825,46.559433545113095,53.621220199627174,33.89800352119249,5,low traffic
4/12,21.688749999999995,Zuerich_Schimmelstrasse,42.43041666666667,39.74310868100851,54.53444930249645,32.697008960216344,6,low traffic
4/13,13.868333333333332,Zuerich_Schimmelstrasse,33.84708333333334,46.97812818771777,46.97812818771777,27.691446636884265,0,low traffic
4/14,15.955416666666665,Zuerich_Schimmelstrasse,32.214166666666664,43.439131570342326,41.647775837607405,24.940295565473377,1,low traffic
4/15,32.27458333333333,Zuerich_Schimmelstrasse,44.43333333333333,58.27014898994573,55.06023338456346,37.54787814459905,2,low traffic
4/16,40.45,Zuerich_Schimmelstrasse,42.0517391304348,49.484779116238585,47.21888771788184,39.11872222394513,3,low traffic
4/17,35.24041666666667,Zuerich_Schimmelstrasse,39.92047619047619,49.42282949438628,46.30054189423862,36.083950335592036,4,low traffic
4/18,20.801250000000003,Zuerich_Schimmelstrasse,58.89833333333335,32.802733169942506,37.77800640015987,18.054789721725186,5,low traffic
4/19,12.496666666666664,Zuerich_Schimmelstrasse,37.02458333333333,28.842584526674433,39.57703651839702,17.73959617611692,6,low traffic
4/20,15.512499999999998,Zuerich_Schimmelstrasse,33.79958333333334,41.649850208578876,41.649850208578876,22.36316865774537,0,low traffic
4/21,20.117083333333333,Zuerich_Schimmelstrasse,32.94625,45.06618669196361,43.20773397974898,26.500253707614952,1,low traffic
4/22,24.04625,Zuerich_Schimmelstrasse,34.7,57.671298321692696,54.49437147880099,36.982016238836586,2,low traffic
4/23,36.036666666666655,Zuerich_Schimmelstrasse,45.76458333333335,55.92382393944436,53.36309084351707,45.26292534958036,3,low traffic
4/24,36.2890909090909,Zuerich_Schimmelstrasse,38.69761904761905,39.32850174915738,36.84392337515459,26.627331816508004,4,low traffic
4/25,25.271249999999995,Zuerich_Schimmelstrasse,,47.13876740758037,54.28842308942086,34.56520641098618,5,low traffic
3/16,48.60625,Zuerich_Stampfenbachstrasse,,49.65925124039333,49.65925124039333,36.441567678758254,0,low traffic
3/17,32.615238095238105,Zuerich_Stampfenbachstrasse,,46.58241127768447,45.110787669274536,33.40354604453452,1,low traffic
3/18,37.11,Zuerich_Stampfenbachstrasse,18.760416666666668,49.234645313793116,48.029351625901214,37.25816342904692,2,low traffic
3/19,42.86708333333333,Zuerich_Stampfenbachstrasse,44.80875,52.030136161374315,49.106245323037314,39.90058632659961,3,low traffic
3/20,31.012083333333337,Zuerich_Stampfenbachstrasse,39.920416666666654,51.758234590236555,49.84669841237647,36.85375584902697,4,low traffic
3/21,12.551666666666668,Zuerich_Stampfenbachstrasse,34.472500000000004,26.68500049606416,33.92849108476192,14.986847601617967,5,low traffic
3/22,6.535833333333333,Zuerich_Stampfenbachstrasse,60.83166666666667,17.780814548992996,25.913097429875034,5.509122276603954,6,low traffic
3/23,11.461249999999998,Zuerich_Stampfenbachstrasse,49.93875,27.80806331552599,27.80806331552599,14.590379753890915,0,low traffic
